UUID        = 34bd1d96-98cf-4da9-a0d7-694940a2555b
     17294894     ECG3   3759 
     17294895     ECG3   3759 
     17294896     ECG3   3759 
     17294897     ECG3   3759 
     17294898     ECG3   3759 
     17294899     ECG3   3759 
     17294900     ECG3   3759 
     17294901     ECG3   3759 
     17294902     ECG3   3759 
     17294903     ECG3   3759 
     17294904     ECG3   3759 
     17294905     ECG3   3759 
     17294906     ECG3   3759 
     17294907     ECG3   3759 
     17294908     ECG3   3759 
     17294909     ECG3   3759 
     17294910     ECG3   3759 
     17294911     ECG3   3759 
     17294912     ECG3   3759 
     17294913     ECG3   3759 
     17294914     ECG3   3759 
     17294915     ECG3   3759 
     17294916     ECG3   3759 
     17294917     ECG3   3759 
     17294918     ECG3   3759 
     17294919     ECG3   3759 
     17294920     ECG3   3759 
     17294921     ECG3   3759 
     17294922     ECG3   3759 
     17294923     ECG3   3759 
     17294924     ECG3   3759 
     17294925     ECG3   3759 
     17294926     ECG3   3759 
     17294887     ECG4   1659 
     17294888     ECG4   1659 
     17294889     ECG4   1659  PULS_TRIGGER
     17294890     ECG4   1659 
     17294891     ECG4   1659 
     17294892     ECG4   1659 
     17294893     ECG4   1659 
     17294894     ECG4   1659 
     17294895     ECG4   1659 
     17294896     ECG4   1659 
     17294897     ECG4   1659 
     17294898     ECG4   1659 
     17294899     ECG4   1659 
     17294900     ECG4   1659 
     17294901     ECG4   1659 
     17294902     ECG4   1659 
     17294903     ECG4   1659 
     17294904     ECG4   1659 
     17294905     ECG4   1659 
     17294906     ECG4   1659 
     17294907     ECG4   1659 
     17294908     ECG4   1659 
     17294909     ECG4   1659 
     17294910     ECG4   1659 
     17294911     ECG4   1659 
     17294912     ECG4   1659 
     17294913     ECG4   1659 
     17294914     ECG4   1659 
     17294915     ECG4   1659 
     17294916     ECG4   1659 
     17294917     ECG4   1659 
     17294918     ECG4   1659 
     17294919     ECG4   1659 
     17294920     ECG4   1659 
     17294921     ECG4   1659 
     17294922     ECG4   1659 
     17294923     ECG4   1659 
     17294924     ECG4   1659 
     17294925     ECG4   1659 
     17294926     ECG4   1659 
     17294927     ECG1   3767 
     17294928     ECG1   3767 
     17294929     ECG1   3767 
     17294930     ECG1   3767 
     17294931     ECG1   3767 
     17294932     ECG1   3767 
     17294933     ECG1   3767 
     17294934     ECG1   3767 
     17294935     ECG1   3767 
     17294936     ECG1   3767 
     17294937     ECG1   3767 
     17294938     ECG1   3767 
     17294939     ECG1   3767 
     17294940     ECG1   3767 
     17294941     ECG1   3767 
     17294942     ECG1   3767 
     17294943     ECG1   3767 
     17294944     ECG1   3767 
     17294945     ECG1   3767 
     17294946     ECG1   3767 
     17294947     ECG1   3767 
     17294948     ECG1   3767 
     17294949     ECG1   3767 
     17294950     ECG1   3767 
     17294951     ECG1   3767 
     17294952     ECG1   3767 
     17294953     ECG1   3767 
     17294954     ECG1   3767 
     17294955     ECG1   3767 
     17294956     ECG1   3767 
     17294957     ECG1   3767 
     17294958     ECG1   3767 
     17294959     ECG1   3767 
     17294960     ECG1   3767 
     17294961     ECG1   3767 
     17294962     ECG1   3767 
     17294963     ECG1   3767 
     17294964     ECG1   3767 
     17294965     ECG1   3767 
     17294966     ECG1   3767 
     17294927     ECG2    205 
     17294928     ECG2    205 
     17294929     ECG2    205 
     17294930     ECG2    205 
     17294931     ECG2    205 
     17294932     ECG2    205 
     17294933     ECG2    205 
     17294934     ECG2    205 
     17294935     ECG2    205 
     17294936     ECG2    205 
     17294937     ECG2    205 
     17294938     ECG2    205 
     17294939     ECG2    205 
     17294940     ECG2    205 
     17294941     ECG2    205 
     17294942     ECG2    205 
     17294943     ECG2    205 
     17294944     ECG2    205 
     17294945     ECG2    205 
     17294946     ECG2    205 
     17294947     ECG2    205 
     17294948     ECG2    205 
     17294949     ECG2    205 
     17294950     ECG2    205 
     17294951     ECG2    205 
     17294952     ECG2    205 
     17294953     ECG2    205 
     17294954     ECG2    205 
     17294955     ECG2    205 
     17294956     ECG2    205 
     17294957     ECG2    205 
     17294958     ECG2    205 
     17294959     ECG2    205 
     17294960     ECG2    205 
     17294961     ECG2    205 
     17294962     ECG2    205 
     17294963     ECG2    205 
     17294964     ECG2    205 
     17294965     ECG2    205 
     17294966     ECG2    205 
     17294927     ECG3   3759 
     17294928     ECG3   3759 
     17294929     ECG3   3759 
     17294930     ECG3   3759 
     17294931     ECG3   3759 
     17294932     ECG3   3759 
     17294933     ECG3   3759 
     17294934     ECG3   3759 
     17294935     ECG3   3759 
     17294936     ECG3   3759 
     17294937     ECG3   3759 
     17294938     ECG3   3759 
     17294939     ECG3   3759 
     17294940     ECG3   3759 
     17294941     ECG3   3759 
     17294942     ECG3   3759 
     17294943     ECG3   3759 
     17294944     ECG3   3759 
     17294945     ECG3   3759 
     17294946     ECG3   3759 
     17294947     ECG3   3759 
     17294948     ECG3   3759 
     17294949     ECG3   3759 
     17294950     ECG3   3759 
     17294951     ECG3   3759 
     17294952     ECG3   3759 
     17294953     ECG3   3759 
     17294954     ECG3   3759 
     17294955     ECG3   3759 
     17294956     ECG3   3759 
     17294957     ECG3   3759 
     17294958     ECG3   3759 
     17294959     ECG3   3759 
     17294960     ECG3   3759 
     17294961     ECG3   3759 
     17294962     ECG3   3759 
     17294963     ECG3   3759 
     17294964     ECG3   3759 
     17294965     ECG3   3759 
     17294966     ECG3   3759 
     17294927     ECG4   1659 
     17294928     ECG4   1659 
     17294929     ECG4   1659 
     17294930     ECG4   1659 
     17294931     ECG4   1659 
     17294932     ECG4   1659 
     17294933     ECG4   1659 
     17294934     ECG4   1659 
     17294935     ECG4   1659 
     17294936     ECG4   1659 
     17294937     ECG4   1659 
     17294938     ECG4   1659 
     17294939     ECG4   1659 
     17294940     ECG4   1659 
     17294941     ECG4   1659 
     17294942     ECG4   1659 
     17294943     ECG4   1659 
     17294944     ECG4   1659 
     17294945     ECG4   1659 
     17294946     ECG4   1659 
     17294947     ECG4   1659 
     17294948     ECG4   1659 
     17294949     ECG4   1659 
     17294950     ECG4   1659 
     17294951     ECG4   1659 
     17294952     ECG4   1659 
     17294953     ECG4   1659 
     17294954     ECG4   1659 
     17294955     ECG4   1659 
     17294956     ECG4   1659 
     17294957     ECG4   1659 
     17294958     ECG4   1659 
     17294959     ECG4   1659 
     17294960     ECG4   1659 
     17294961     ECG4   1659 
     17294962     ECG4   1659 
     17294963     ECG4   1659 
     17294964     ECG4   1659 
     17294965     ECG4   1659 
     17294966     ECG4   1659 
     17294967     ECG1   3767 
     17294968     ECG1   3767 
     17294969     ECG1   3767 
     17294970     ECG1   3767 
     17294971     ECG1   3767 
     17294972     ECG1   3767 
     17294973     ECG1   3767 
     17294974     ECG1   3767 
     17294975     ECG1   3767 
     17294976     ECG1   3767 
     17294977     ECG1   3767 
     17294978     ECG1   3767 
     17294979     ECG1   3767 
     17294980     ECG1   3767 
     17294981     ECG1   3767 
     17294982     ECG1   3767 
     17294983     ECG1   3767 
     17294984     ECG1   3767 
     17294985     ECG1   3767 
     17294986     ECG1   3767 
     17294987     ECG1   3767 
     17294988     ECG1   3767 
     17294989     ECG1   3767 
     17294990     ECG1   3767 
     17294991     ECG1   3767 
     17294992     ECG1   3767 
     17294993     ECG1   3767 
     17294994     ECG1   3767 
     17294995     ECG1   3767 
     17294996     ECG1   3767 
     17294997     ECG1   3767 
     17294998     ECG1   3767 
     17294999     ECG1   3767 
     17295000     ECG1   3767 
     17295001     ECG1   3767 
     17295002     ECG1   3767 
     17295003     ECG1   3767 
     17295004     ECG1   3767 
     17295005     ECG1   3767 
     17295006     ECG1   3767 
     17294967     ECG2    205 
     17294968     ECG2    205 
     17294969     ECG2    205 
     17294970     ECG2    205 
     17294971     ECG2    205 
     17294972     ECG2    205 
     17294973     ECG2    205 
     17294974     ECG2    205 
     17294975     ECG2    205 
     17294976     ECG2    205 
     17294977     ECG2    205 
     17294978     ECG2    205 
     17294979     ECG2    205 
     17294980     ECG2    205 
     17294981     ECG2    205 
     17294982     ECG2    205 
     17294983     ECG2    205 
     17294984     ECG2    205 
     17294985     ECG2    205 
     17294986     ECG2    205 
     17294987     ECG2    205 
     17294988     ECG2    205 
     17294989     ECG2    205 
     17294990     ECG2    205 
     17294991     ECG2    205 
     17294992     ECG2    205 
     17294993     ECG2    205 
     17294994     ECG2    205 
     17294995     ECG2    205 
     17294996     ECG2    205 
     17294997     ECG2    205 
     17294998     ECG2    205 
     17294999     ECG2    205 
     17295000     ECG2    205 
     17295001     ECG2    205 
     17295002     ECG2    205 
     17295003     ECG2    205 
     17295004     ECG2    205 
     17295005     ECG2    205 
     17295006     ECG2    205 
     17294967     ECG3   3759 
     17294968     ECG3   3759 
     17294969     ECG3   3759 
     17294970     ECG3   3759 
     17294971     ECG3   3759 
     17294972     ECG3   3759 
     17294973     ECG3   3759 
     17294974     ECG3   3759 
     17294975     ECG3   3759 
     17294976     ECG3   3759 
     17294977     ECG3   3759 
     17294978     ECG3   3759 
     17294979     ECG3   3759 
     17294980     ECG3   3759 
     17294981     ECG3   3759 
     17294982     ECG3   3759 
     17294983     ECG3   3759 
     17294984     ECG3   3759 
     17294985     ECG3   3759 
     17294986     ECG3   3759 
     17294987     ECG3   3759 
     17294988     ECG3   3759 
     17294989     ECG3   3759 
     17294990     ECG3   3759 
     17294991     ECG3   3759 
     17294992     ECG3   3759 
     17294993     ECG3   3759 
     17294994     ECG3   3759 
     17294995     ECG3   3759 
     17294996     ECG3   3759 
     17294997     ECG3   3759 
     17294998     ECG3   3759 
     17294999     ECG3   3759 
     17295000     ECG3   3759 
     17295001     ECG3   3759 
     17295002     ECG3   3759 
     17295003     ECG3   3759 
     17295004     ECG3   3759 
     17295005     ECG3   3759 
     17295006     ECG3   3759 
     17294967     ECG4   1659 
     17294968     ECG4   1659 
     17294969     ECG4   1659 
     17294970     ECG4   1659 
     17294971     ECG4   1659 
     17294972     ECG4   1659 
     17294973     ECG4   1659 
     17294974     ECG4   1659 
     17294975     ECG4   1659 
     17294976     ECG4   1659 
     17294977     ECG4   1659 
     17294978     ECG4   1659 
     17294979     ECG4   1659 
     17294980     ECG4   1659 
     17294981     ECG4   1659 
     17294982     ECG4   1659 
     17294983     ECG4   1659 
     17294984     ECG4   1659 
     17294985     ECG4   1659 
     17294986     ECG4   1659 
     17294987     ECG4   1659 
     17294988     ECG4   1659 
     17294989     ECG4   1659 
     17294990     ECG4   1659 
     17294991     ECG4   1659 
     17294992     ECG4   1659 
     17294993     ECG4   1659 
     17294994     ECG4   1659 
     17294995     ECG4   1659 
     17294996     ECG4   1659 
     17294997     ECG4   1659 
     17294998     ECG4   1659 
     17294999     ECG4   1659 
     17295000     ECG4   1659 
     17295001     ECG4   1659 
     17295002     ECG4   1659 
     17295003     ECG4   1659 
     17295004     ECG4   1659 
     17295005     ECG4   1659 
     17295006     ECG4   1659 
     17295007     ECG1   3767 
     17295008     ECG1   3767 
     17295009     ECG1   3767 
     17295010     ECG1   3767 
     17295011     ECG1   3767 
     17295012     ECG1   3767 
     17295013     ECG1   3767 
     17295014     ECG1   3767 
     17295015     ECG1   3767 
     17295016     ECG1   3767 
     17295017     ECG1   3767 
     17295018     ECG1   3767 
     17295019     ECG1   3767 
     17295020     ECG1   3767 
     17295021     ECG1   3767 
     17295022     ECG1   3767 
     17295023     ECG1   3767 
     17295024     ECG1   3767 
     17295025     ECG1   3767 
     17295026     ECG1   3767 
     17295027     ECG1   3767 
     17295028     ECG1   3767 
     17295029     ECG1   3767 
     17295030     ECG1   3767 
     17295031     ECG1   3767 
     17295032     ECG1   3767 
     17295033     ECG1   3767 
     17295034     ECG1   3767 
     17295035     ECG1   3767 
     17295036     ECG1   3767 
     17295037     ECG1   3767 
     17295038     ECG1   3767 
     17295039     ECG1   3767 
     17295040     ECG1   3767 
     17295041     ECG1   3767 
     17295042     ECG1   3767 
     17295043     ECG1   3767 
     17295044     ECG1   3767 
     17295045     ECG1   3767 
     17295046     ECG1   3767 
     17295007     ECG2    205 
     17295008     ECG2    205 
     17295009     ECG2    205 
     17295010     ECG2    205 
     17295011     ECG2    205 
     17295012     ECG2    205 
     17295013     ECG2    205 
     17295014     ECG2    205 
     17295015     ECG2    205 
     17295016     ECG2    205 
     17295017     ECG2    205 
     17295018     ECG2    205 
     17295019     ECG2    205 
     17295020     ECG2    205 
     17295021     ECG2    205 
     17295022     ECG2    205 
     17295023     ECG2    205 
     17295024     ECG2    205 
     17295025     ECG2    205 
     17295026     ECG2    205 
     17295027     ECG2    205 
     17295028     ECG2    205 
     17295029     ECG2    205 
     17295030     ECG2    205 
     17295031     ECG2    205 
     17295032     ECG2    205 
     17295033     ECG2    205 
     17295034     ECG2    205 
     17295035     ECG2    205 
     17295036     ECG2    205 
     17295037     ECG2    205 
     17295038     ECG2    205 
     17295039     ECG2    205 
     17295040     ECG2    205 
     17295041     ECG2    205 
     17295042     ECG2    205 
     17295043     ECG2    205 
     17295044     ECG2    205 
     17295045     ECG2    205 
     17295046     ECG2    205 
     17295007     ECG3   3759 
     17295008     ECG3   3759 
     17295009     ECG3   3759 
     17295010     ECG3   3759 
     17295011     ECG3   3759 
     17295012     ECG3   3759 
     17295013     ECG3   3759 
     17295014     ECG3   3759 
     17295015     ECG3   3759 
     17295016     ECG3   3759 
     17295017     ECG3   3759 
     17295018     ECG3   3759 
     17295019     ECG3   3759 
     17295020     ECG3   3759 
     17295021     ECG3   3759 
     17295022     ECG3   3759 
     17295023     ECG3   3759 
     17295024     ECG3   3759 
     17295025     ECG3   3759 
     17295026     ECG3   3759 
     17295027     ECG3   3759 
     17295028     ECG3   3759 
     17295029     ECG3   3759 
     17295030     ECG3   3759 
     17295031     ECG3   3759 
     17295032     ECG3   3759 
     17295033     ECG3   3759 
     17295034     ECG3   3759 
     17295035     ECG3   3759 
     17295036     ECG3   3759 
     17295037     ECG3   3759 
     17295038     ECG3   3759 
     17295039     ECG3   3759 
     17295040     ECG3   3759 
     17295041     ECG3   3759 
     17295042     ECG3   3759 
     17295043     ECG3   3759 
     17295044     ECG3   3759 
     17295045     ECG3   3759 
     17295046     ECG3   3759 
     17295007     ECG4   1659 
     17295008     ECG4   1659 
     17295009     ECG4   1659 
     17295010     ECG4   1659 
     17295011     ECG4   1659 
     17295012     ECG4   1659 
     17295013     ECG4   1659 
     17295014     ECG4   1659 
     17295015     ECG4   1659 
     17295016     ECG4   1659 
     17295017     ECG4   1659 
     17295018     ECG4   1659 
     17295019     ECG4   1659 
     17295020     ECG4   1659 
     17295021     ECG4   1659 
     17295022     ECG4   1659 
     17295023     ECG4   1659 
     17295024     ECG4   1659 
     17295025     ECG4   1659 
     17295026     ECG4   1659 
     17295027     ECG4   1659 
     17295028     ECG4   1659 
     17295029     ECG4   1659 
     17295030     ECG4   1659 
     17295031     ECG4   1659 
     17295032     ECG4   1659 
     17295033     ECG4   1659 
     17295034     ECG4   1659 
     17295035     ECG4   1659 
     17295036     ECG4   1659 
     17295037     ECG4   1659 
     17295038     ECG4   1659 
     17295039     ECG4   1659 
     17295040     ECG4   1659 
     17295041     ECG4   1659 
     17295042     ECG4   1659 
     17295043     ECG4   1659 
     17295044     ECG4   1659 
     17295045     ECG4   1659 
     17295046     ECG4   1659 
     17295047     ECG1   3767 
     17295048     ECG1   3767 
     17295049     ECG1   3767 
     17295050     ECG1   3767 
     17295051     ECG1   3767 
     17295052     ECG1   3767 
     17295053     ECG1   3767 
     17295054     ECG1   3767 
     17295055     ECG1   3767 
     17295056     ECG1   3767 
     17295057     ECG1   3767 
     17295058     ECG1   3767 
     17295059     ECG1   3767 
     17295060     ECG1   3767 
     17295061     ECG1   3767 
     17295062     ECG1   3767 
     17295063     ECG1   3767 
     17295064     ECG1   3767 
     17295065     ECG1   3767 
     17295066     ECG1   3767 
     17295067     ECG1   3767 
     17295068     ECG1   3767 
     17295069     ECG1   3767 
     17295070     ECG1   3767 
     17295071     ECG1   3767 
     17295072     ECG1   3767 
     17295073     ECG1   3767 
     17295074     ECG1   3767 
     17295075     ECG1   3767 
     17295076     ECG1   3767 
     17295077     ECG1   3767 
     17295078     ECG1   3767 
     17295079     ECG1   3767 
     17295080     ECG1   3767 
     17295081     ECG1   3767 
     17295082     ECG1   3767 
     17295083     ECG1   3767 
     17295084     ECG1   3767 
     17295085     ECG1   3767 
     17295086     ECG1   3767 
     17295047     ECG2    205 
     17295048     ECG2    205 
     17295049     ECG2    205 
     17295050     ECG2    205 
     17295051     ECG2    205 
     17295052     ECG2    205 
     17295053     ECG2    205 
     17295054     ECG2    205 
     17295055     ECG2    205 
     17295056     ECG2    205 
     17295057     ECG2    205 
     17295058     ECG2    205 
     17295059     ECG2    205 
     17295060     ECG2    205 
     17295061     ECG2    205 
     17295062     ECG2    205 
     17295063     ECG2    205 
     17295064     ECG2    205 
     17295065     ECG2    205 
     17295066     ECG2    205 
     17295067     ECG2    205 
     17295068     ECG2    205 
     17295069     ECG2    205 
     17295070     ECG2    205 
     17295071     ECG2    205 
     17295072     ECG2    205 
     17295073     ECG2    205 
     17295074     ECG2    205 
     17295075     ECG2    205 
     17295076     ECG2    205 
     17295077     ECG2    205 
     17295078     ECG2    205 
     17295079     ECG2    205 
     17295080     ECG2    205 
     17295081     ECG2    205 
     17295082     ECG2    205 
     17295083     ECG2    205 
     17295084     ECG2    205 
     17295085     ECG2    205 
     17295086     ECG2    205 
     17295047     ECG3   3759 
     17295048     ECG3   3759 
     17295049     ECG3   3759 
     17295050     ECG3   3759 
     17295051     ECG3   3759 
     17295052     ECG3   3759 
     17295053     ECG3   3759 
     17295054     ECG3   3759 
     17295055     ECG3   3759 
     17295056     ECG3   3759 
     17295057     ECG3   3759 
     17295058     ECG3   3759 
     17295059     ECG3   3759 
     17295060     ECG3   3759 
     17295061     ECG3   3759 
     17295062     ECG3   3759 
     17295063     ECG3   3759 
     17295064     ECG3   3759 
     17295065     ECG3   3759 
     17295066     ECG3   3759 
     17295067     ECG3   3759 
     17295068     ECG3   3759 
     17295069     ECG3   3759 
     17295070     ECG3   3759 
     17295071     ECG3   3759 
     17295072     ECG3   3759 
     17295073     ECG3   3759 
     17295074     ECG3   3759 
     17295075     ECG3   3759 
     17295076     ECG3   3759 
     17295077     ECG3   3759 
     17295078     ECG3   3759 
     17295079     ECG3   3759 
     17295080     ECG3   3759 
     17295081     ECG3   3759 
     17295082     ECG3   3759 
     17295083     ECG3   3759 
     17295084     ECG3   3759 
     17295085     ECG3   3759 
     17295086     ECG3   3759 
     17295047     ECG4   1659 
     17295048     ECG4   1659 
     17295049     ECG4   1659 
     17295050     ECG4   1659 
     17295051     ECG4   1659 
     17295052     ECG4   1659 
     17295053     ECG4   1659 
     17295054     ECG4   1659 
     17295055     ECG4   1659 
     17295056     ECG4   1659 
     17295057     ECG4   1659 
     17295058     ECG4   1659 
     17295059     ECG4   1659 
     17295060     ECG4   1659 
     17295061     ECG4   1659 
     17295062     ECG4   1659 
     17295063     ECG4   1659 
     17295064     ECG4   1659 
     17295065     ECG4   1659 
     17295066     ECG4   1659 
     17295067     ECG4   1659 
     17295068     ECG4   1659 
     17295069     ECG4   1659 
     17295070     ECG4   1659 
     17295071     ECG4   1659 
     17295072     ECG4   1659 
     17295073     ECG4   1659 
     17295074     ECG4   1659 
     17295075     ECG4   1659 
     17295076     ECG4   1659 
     17295077     ECG4   1659 
     17295078     ECG4   1659 
     17295079     ECG4   1659 
     17295080     ECG4   1659 
     17295081     ECG4   1659 
     17295082     ECG4   1659 
     17295083     ECG4   1659 
     17295084     ECG4   1659 
     17295085     ECG4   1659 
     17295086     ECG4   1659 
     17295087     ECG1   3767 
     17295088     ECG1   3767 
     17295089     ECG1   3767 
     17295090     ECG1   3767 
     17295091     ECG1   3767 
     17295092     ECG1   3767 
     17295093     ECG1   3767 
     17295094     ECG1   3767 
     17295095     ECG1   3767 
     17295096     ECG1   3767 
     17295097     ECG1   3767 
     17295098     ECG1   3767 
     17295099     ECG1   3767 
     17295100     ECG1   3767 
     17295101     ECG1   3767 
     17295102     ECG1   3767 
     17295103     ECG1   3767 
     17295104     ECG1   3767 
     17295105     ECG1   3767 
     17295106     ECG1   3767 
     17295107     ECG1   3767 
     17295108     ECG1   3767 
     17295109     ECG1   3767 
     17295110     ECG1   3767 
     17295111     ECG1   3767 
     17295112     ECG1   3767 
     17295113     ECG1   3767 
     17295114     ECG1   3767 
     17295115     ECG1   3767 
     17295116     ECG1   3767 
     17295117     ECG1   3767 
     17295118     ECG1   3767 
     17295119     ECG1   3767 
     17295120     ECG1   3767 
     17295121     ECG1   3767 
     17295122     ECG1   3767 
     17295123     ECG1   3767 
     17295124     ECG1   3767 
     17295125     ECG1   3767 
     17295126     ECG1   3767 
     17295087     ECG2    205 
     17295088     ECG2    205 
     17295089     ECG2    205 
     17295090     ECG2    205 
     17295091     ECG2    205 
     17295092     ECG2    205 
     17295093     ECG2    205 
     17295094     ECG2    205 
     17295095     ECG2    205 
     17295096     ECG2    205 
     17295097     ECG2    205 
     17295098     ECG2    205 
     17295099     ECG2    205 
     17295100     ECG2    205 
     17295101     ECG2    205 
     17295102     ECG2    205 
     17295103     ECG2    205 
     17295104     ECG2    205 
     17295105     ECG2    205 
     17295106     ECG2    205 
     17295107     ECG2    205 
     17295108     ECG2    205 
     17295109     ECG2    205 
     17295110     ECG2    205 
     17295111     ECG2    205 
     17295112     ECG2    205 
     17295113     ECG2    205 
     17295114     ECG2    205 
     17295115     ECG2    205 
     17295116     ECG2    205 
     17295117     ECG2    205 
     17295118     ECG2    205 
     17295119     ECG2    205 
     17295120     ECG2    205 
     17295121     ECG2    205 
     17295122     ECG2    205 
     17295123     ECG2    205 
     17295124     ECG2    205 
     17295125     ECG2    205 
     17295126     ECG2    205 
     17295087     ECG3   3759 
     17295088     ECG3   3759 
     17295089     ECG3   3759 
     17295090     ECG3   3759 
     17295091     ECG3   3759 
     17295092     ECG3   3759 
     17295093     ECG3   3759 
     17295094     ECG3   3759 
     17295095     ECG3   3759 
     17295096     ECG3   3759 
     17295097     ECG3   3759 
     17295098     ECG3   3759 
     17295099     ECG3   3759 
     17295100     ECG3   3759 
     17295101     ECG3   3759 
     17295102     ECG3   3759 
     17295103     ECG3   3759 
     17295104     ECG3   3759 
     17295105     ECG3   3759 
     17295106     ECG3   3759 
     17295107     ECG3   3759 
     17295108     ECG3   3759 
     17295109     ECG3   3759 
     17295110     ECG3   3759 
     17295111     ECG3   3759 
     17295112     ECG3   3759 
     17295113     ECG3   3759 
     17295114     ECG3   3759 
     17295115     ECG3   3759 
     17295116     ECG3   3759 
     17295117     ECG3   3759 
     17295118     ECG3   3759 
     17295119     ECG3   3759 
     17295120     ECG3   3759 
     17295121     ECG3   3759 
     17295122     ECG3   3759 
     17295123     ECG3   3759 
     17295124     ECG3   3759 
     17295125     ECG3   3759 
     17295126     ECG3   3759 
     17295087     ECG4   1659 
     17295088     ECG4   1659 
     17295089     ECG4   1659 
     17295090     ECG4   1659 
     17295091     ECG4   1659 
     17295092     ECG4   1659 
     17295093     ECG4   1659 
     17295094     ECG4   1659 
     17295095     ECG4   1659 
     17295096     ECG4   1659 
     17295097     ECG4   1659 
     17295098     ECG4   1659 
     17295099     ECG4   1659 
     17295100     ECG4   1659 
     17295101     ECG4   1659 
     17295102     ECG4   1659 
     17295103     ECG4   1659 
     17295104     ECG4   1659 
     17295105     ECG4   1659 
     17295106     ECG4   1659 
